etapa,piloto,equipe,volta,duracao_s
1,Gabriel Casagrande,A.Mattheis Vogel,15,4.2
1,Thiago Camilo,Ipiranga Racing,14,4.0
1,Daniel Serra,Eurofarma RC,16,3.8
1,Ricardo Mauricio,Eurofarma RC,15,3.9
1,Ricardo Zonta,RCM Motorsport,15,4.5
1,Rubens Barrichello,Full Time Sports,16,4.8
1,Felipe Massa,Lubrax Podium Stock,17,5.2
1,Felipe Fraga,Red Bull Racing BR,15,4.1
1,Cesar Ramos,Ipiranga Racing,14,4.6
1,Julio Campos,Pole Motorsport,16,5.0
2,Thiago Camilo,Ipiranga Racing,13,3.9
2,Gabriel Casagrande,A.Mattheis Vogel,14,4.1
2,Ricardo Zonta,RCM Motorsport,15,4.4
2,Daniel Serra,Eurofarma RC,14,3.7
2,Felipe Fraga,Red Bull Racing BR,13,4.0
2,Ricardo Mauricio,Eurofarma RC,15,3.8
2,Rubens Barrichello,Full Time Sports,15,4.9
2,Cesar Ramos,Ipiranga Racing,14,4.5
2,Julio Campos,Pole Motorsport,16,5.1
2,Felipe Massa,Lubrax Podium Stock,16,5.3
3,Daniel Serra,Eurofarma RC,13,3.6
3,Ricardo Mauricio,Eurofarma RC,14,3.8
3,Gabriel Casagrande,A.Mattheis Vogel,13,4.0
3,Felipe Massa,Lubrax Podium Stock,12,5.1
3,Rubens Barrichello,Full Time Sports,14,4.7
3,Thiago Camilo,Ipiranga Racing,13,4.1
3,Ricardo Zonta,RCM Motorsport,15,4.3
3,Julio Campos,Pole Motorsport,15,5.2
3,Cesar Ramos,Ipiranga Racing,13,4.4
3,Felipe Fraga,Red Bull Racing BR,14,4.2
4,Felipe Fraga,Red Bull Racing BR,16,4.0
4,Gabriel Casagrande,A.Mattheis Vogel,15,4.2
4,Thiago Camilo,Ipiranga Racing,15,4.1
4,Cesar Ramos,Ipiranga Racing,14,4.3
4,Daniel Serra,Eurofarma RC,16,3.9
4,Ricardo Zonta,RCM Motorsport,15,4.5
4,Ricardo Mauricio,Eurofarma RC,16,3.8
4,Felipe Massa,Lubrax Podium Stock,17,5.4
4,Rubens Barrichello,Full Time Sports,16,4.9
4,Julio Campos,Pole Motorsport,17,5.3
5,Ricardo Zonta,RCM Motorsport,12,5.1
5,Julio Campos,Pole Motorsport,12,5.4
5,Rubens Barrichello,Full Time Sports,12,5.0
5,Felipe Massa,Lubrax Podium Stock,13,5.6
5,Gabriel Casagrande,A.Mattheis Vogel,12,4.8
5,Felipe Fraga,Red Bull Racing BR,13,4.9
5,Thiago Camilo,Ipiranga Racing,12,4.7
5,Daniel Serra,Eurofarma RC,13,4.1
5,Cesar Ramos,Ipiranga Racing,13,4.6
5,Ricardo Mauricio,Eurofarma RC,14,4.2
6,Daniel Serra,Eurofarma RC,14,3.7
6,Gabriel Casagrande,A.Mattheis Vogel,15,4.1
6,Ricardo Mauricio,Eurofarma RC,14,3.8
6,Thiago Camilo,Ipiranga Racing,14,4.0
6,Felipe Fraga,Red Bull Racing BR,15,4.3
6,Cesar Ramos,Ipiranga Racing,14,4.5
6,Ricardo Zonta,RCM Motorsport,15,4.4
6,Rubens Barrichello,Full Time Sports,15,4.8
6,Julio Campos,Pole Motorsport,16,5.2
6,Felipe Massa,Lubrax Podium Stock,16,5.5
7,Gabriel Casagrande,A.Mattheis Vogel,15,4.0
7,Thiago Camilo,Ipiranga Racing,14,4.1
7,Felipe Massa,Lubrax Podium Stock,15,5.0
7,Daniel Serra,Eurofarma RC,15,3.8
7,Ricardo Mauricio,Eurofarma RC,15,3.7
7,Cesar Ramos,Ipiranga Racing,14,4.4
7,Felipe Fraga,Red Bull Racing BR,16,4.2
7,Ricardo Zonta,RCM Motorsport,15,4.5
7,Rubens Barrichello,Full Time Sports,16,4.9
7,Julio Campos,Pole Motorsport,16,5.3
8,Thiago Camilo,Ipiranga Racing,14,4.0
8,Daniel Serra,Eurofarma RC,15,3.7
8,Felipe Fraga,Red Bull Racing BR,14,4.1
8,Ricardo Mauricio,Eurofarma RC,14,3.8
8,Gabriel Casagrande,A.Mattheis Vogel,15,4.2
8,Ricardo Zonta,RCM Motorsport,15,4.4
8,Cesar Ramos,Ipiranga Racing,14,4.5
8,Rubens Barrichello,Full Time Sports,15,4.8
8,Felipe Massa,Lubrax Podium Stock,16,5.1
8,Julio Campos,Pole Motorsport,16,5.4
