etapa,piloto,equipe,volta,duracao_s
1,Daniel Serra,Eurofarma RC,15,3.7
1,Ricardo Mauricio,Eurofarma RC,15,3.9
1,Gabriel Casagrande,A.Mattheis Vogel,14,4.3
1,Thiago Camilo,Ipiranga Racing,14,4.1
1,Felipe Fraga,Red Bull Racing BR,15,4.2
1,Ricardo Zonta,RCM Motorsport,16,4.6
1,Rubens Barrichello,Full Time Sports,16,4.9
1,Cesar Ramos,Ipiranga Racing,14,4.5
1,Felipe Massa,Lubrax Podium Stock,17,5.3
1,Julio Campos,Pole Motorsport,16,5.1
2,Daniel Serra,Eurofarma RC,14,3.6
2,Thiago Camilo,Ipiranga Racing,14,4.0
2,Felipe Fraga,Red Bull Racing BR,13,4.1
2,Gabriel Casagrande,A.Mattheis Vogel,15,4.2
2,Ricardo Mauricio,Eurofarma RC,15,3.8
2,Felipe Massa,Lubrax Podium Stock,16,5.4
2,Ricardo Zonta,RCM Motorsport,15,4.5
2,Rubens Barrichello,Full Time Sports,16,5.0
2,Julio Campos,Pole Motorsport,16,5.2
2,Cesar Ramos,Ipiranga Racing,14,4.6
3,Ricardo Zonta,RCM Motorsport,12,5.2
3,Gabriel Casagrande,A.Mattheis Vogel,12,4.9
3,Rubens Barrichello,Full Time Sports,13,5.1
3,Daniel Serra,Eurofarma RC,12,4.3
3,Julio Campos,Pole Motorsport,13,5.5
3,Felipe Massa,Lubrax Podium Stock,13,5.7
3,Thiago Camilo,Ipiranga Racing,12,4.8
3,Felipe Fraga,Red Bull Racing BR,13,5.0
3,Cesar Ramos,Ipiranga Racing,13,4.7
3,Ricardo Mauricio,Eurofarma RC,14,4.4
4,Daniel Serra,Eurofarma RC,15,3.7
4,Felipe Fraga,Red Bull Racing BR,15,4.0
4,Thiago Camilo,Ipiranga Racing,14,4.1
4,Ricardo Mauricio,Eurofarma RC,16,3.9
4,Gabriel Casagrande,A.Mattheis Vogel,15,4.3
4,Cesar Ramos,Ipiranga Racing,14,4.4
4,Ricardo Zonta,RCM Motorsport,16,4.6
4,Rubens Barrichello,Full Time Sports,16,5.0
4,Felipe Massa,Lubrax Podium Stock,17,5.5
4,Julio Campos,Pole Motorsport,17,5.3
5,Thiago Camilo,Ipiranga Racing,14,4.0
5,Daniel Serra,Eurofarma RC,14,3.8
5,Gabriel Casagrande,A.Mattheis Vogel,15,4.2
5,Felipe Massa,Lubrax Podium Stock,15,5.2
5,Ricardo Mauricio,Eurofarma RC,15,3.9
5,Ricardo Zonta,RCM Motorsport,15,4.5
5,Felipe Fraga,Red Bull Racing BR,16,4.3
5,Julio Campos,Pole Motorsport,16,5.1
5,Rubens Barrichello,Full Time Sports,16,4.9
5,Cesar Ramos,Ipiranga Racing,14,4.6
6,Daniel Serra,Eurofarma RC,14,3.6
6,Ricardo Mauricio,Eurofarma RC,14,3.8
6,Felipe Fraga,Red Bull Racing BR,15,4.1
6,Gabriel Casagrande,A.Mattheis Vogel,15,4.2
6,Thiago Camilo,Ipiranga Racing,14,4.0
6,Rubens Barrichello,Full Time Sports,15,4.8
6,Cesar Ramos,Ipiranga Racing,14,4.5
6,Ricardo Zonta,RCM Motorsport,16,4.6
6,Felipe Massa,Lubrax Podium Stock,16,5.4
6,Julio Campos,Pole Motorsport,16,5.2
7,Gabriel Casagrande,A.Mattheis Vogel,14,4.1
7,Daniel Serra,Eurofarma RC,15,3.7
7,Thiago Camilo,Ipiranga Racing,14,4.0
7,Ricardo Zonta,RCM Motorsport,15,4.4
7,Felipe Fraga,Red Bull Racing BR,15,4.2
7,Ricardo Mauricio,Eurofarma RC,15,3.9
7,Cesar Ramos,Ipiranga Racing,14,4.5
7,Rubens Barrichello,Full Time Sports,16,5.0
7,Julio Campos,Pole Motorsport,16,5.3
7,Felipe Massa,Lubrax Podium Stock,16,5.5
8,Daniel Serra,Eurofarma RC,13,4.2
8,Rubens Barrichello,Full Time Sports,12,5.1
8,Julio Campos,Pole Motorsport,13,5.4
8,Ricardo Zonta,RCM Motorsport,12,4.8
8,Gabriel Casagrande,A.Mattheis Vogel,13,4.5
8,Thiago Camilo,Ipiranga Racing,12,4.6
8,Felipe Fraga,Red Bull Racing BR,13,4.3
8,Ricardo Mauricio,Eurofarma RC,14,4.0
8,Felipe Massa,Lubrax Podium Stock,14,5.6
8,Cesar Ramos,Ipiranga Racing,13,4.7
